,2020-01-01,temp_max,temp_min,precipitation,visibility,max_wind_speed
150,2013-06-06,71,60,0.00,10,15
151,2013-06-07,65,59,0.00,10,28
152,2013-06-08,77,57,0.00,10,21
153,2013-06-09,81,64,0.00,10,14
154,2013-06-10,68,62,0.00,10,18
155,2013-06-11,81,63,0.00,10,26
156,2013-06-12,76,66,0.00,10,24
157,2013-06-13,71,59,0.00,10,32
158,2013-06-14,73,55,0.00,10,20
159,2013-06-15,81,65,0.00,10,13
160,2013-06-16,82,69,0.00,10,21
161,2013-06-17,86,71,0.00,10,15
162,2013-06-18,80,66,0.00,10,15
163,2013-06-19,76,61,0.00,10,16
164,2013-06-20,79,65,0.00,10,17
165,2013-06-21,81,66,0.00,10,16
166,2013-06-23,87,71,0.00,10,20
167,2013-06-24,94,76,0.00,10,17
168,2013-06-25,93,75,0.00,10,16
169,2013-06-26,88,77,0.00,10,18
170,2013-06-27,82,73,0.00,10,18
171,2013-06-28,87,73,0.00,10,15
172,2013-06-30,85,73,0.00,10,15
173,2013-07-01,78,73,0.00,10,18
174,2013-07-02,83,73,0.00,10,16
175,2013-07-03,84,74,0.00,10,18
176,2013-07-04,91,77,0.00,10,15
177,2013-07-05,92,77,0.00,10,15
178,2013-07-06,95,79,0.00,10,16
179,2013-07-07,96,82,0.00,10,16
180,2013-07-08,90,76,0.00,10,16
181,2013-07-10,91,75,0.00,10,18
182,2013-07-11,84,77,0.00,10,14
183,2013-07-12,77,69,0.00,10,18
184,2013-07-13,76,69,0.00,10,16
185,2013-07-14,93,72,0.00,10,15
186,2013-07-15,94,80,0.00,10,17
187,2013-07-16,93,80,0.00,10,16
188,2013-07-17,95,79,0.00,10,15
189,2013-07-18,99,83,0.00,10,13
190,2013-07-19,99,86,0.00,10,18
191,2013-07-20,94,83,0.00,10,20
192,2013-07-22,81,75,0.00,10,16
193,2013-07-23,89,75,0.00,10,14
194,2013-07-24,82,72,0.00,10,17
195,2013-07-25,69,64,0.00,10,17
196,2013-07-26,82,65,0.00,10,13
197,2013-07-27,83,71,0.00,10,18
198,2013-07-28,81,71,0.00,10,15
199,2013-07-29,87,71,0.00,10,20
200,2013-07-30,81,70,0.00,10,14
201,2013-07-31,82,71,0.00,10,13
202,2013-08-01,78,69,0.00,10,15
203,2013-08-02,85,70,0.00,10,16
204,2013-08-03,80,72,0.00,10,13
205,2013-08-04,80,70,0.00,10,18
206,2013-08-05,78,65,0.00,10,17
207,2013-08-06,81,67,0.00,10,15
208,2013-08-07,80,72,0.00,10,21
209,2013-08-08,81,71,0.00,10,15
210,2013-08-09,88,73,0.00,10,21
211,2013-08-10,84,72,0.00,10,16
212,2013-08-11,81,67,0.00,10,14
213,2013-08-12,81,71,0.00,10,9
214,2013-08-13,78,70,0.00,10,10
215,2013-08-14,74,62,0.00,10,22
216,2013-08-15,77,63,0.00,10,13
217,2013-08-16,78,67,0.00,10,13
218,2013-08-17,81,68,0.00,10,12
219,2013-08-18,75,69,0.00,10,9
220,2013-08-19,80,68,0.00,10,12
221,2013-08-20,88,70,0.00,10,10
222,2013-08-21,89,75,0.00,10,15
223,2013-08-22,79,73,0.00,10,15
224,2013-08-23,81,72,0.00,10,17
225,2013-08-24,78,64,0.00,10,15
226,2013-08-25,83,68,0.00,10,16
227,2013-08-26,84,70,0.00,10,14
228,2013-08-27,85,73,0.00,10,21
229,2013-08-28,82,73,0.00,10,10
230,2013-08-29,78,72,0.00,10,16
231,2013-08-30,85,70,0.00,10,13
232,2013-08-31,85,73,0.00,10,15
233,2013-09-01,84,75,0.00,10,13
234,2013-09-02,81,72,0.00,10,14
235,2013-09-03,82,72,0.00,10,16
236,2013-09-04,82,67,0.00,10,18
237,2013-09-05,77,67,0.00,10,15
238,2013-09-06,71,57,0.00,10,13
239,2013-09-07,78,61,0.00,10,15
240,2013-09-08,80,66,0.00,10,18
241,2013-09-09,72,59,0.00,10,13
242,2013-09-10,87,69,0.00,10,13
243,2013-09-11,93,77,0.00,10,16
244,2013-09-12,85,71,0.00,10,21
245,2013-09-13,76,62,0.00,10,20
246,2013-09-14,66,56,0.00,10,16
247,2013-09-15,72,54,0.00,10,13
248,2013-09-16,71,61,0.00,10,18
249,2013-09-17,64,50,0.00,10,17
250,2013-09-18,71,55,0.00,10,12
251,2013-09-19,76,57,0.00,10,14
252,2013-09-20,77,62,0.00,10,15
253,2013-09-21,75,61,0.00,10,24
254,2013-09-22,70,58,0.00,10,21
255,2013-09-23,66,52,0.00,10,17
256,2013-09-24,73,50,0.00,10,14
257,2013-09-25,72,55,0.00,10,9
258,2013-09-26,68,59,0.00,10,16
259,2013-09-27,66,57,0.00,10,12
260,2013-09-28,72,58,0.00,10,13
261,2013-09-29,70,60,0.00,10,12
262,2013-09-30,73,58,0.00,10,9
263,2013-10-01,80,62,0.00,10,12
264,2013-10-02,84,66,0.00,10,13
265,2013-10-03,79,65,0.00,10,8
266,2013-10-04,85,68,0.00,10,14
267,2013-10-05,73,64,0.00,10,14
268,2013-10-06,70,64,0.00,9,14
269,2013-10-07,77,63,0.00,10,26
270,2013-10-08,66,56,0.00,10,16
271,2013-10-09,63,54,0.00,10,22
272,2013-10-10,65,55,0.00,10,22
273,2013-10-11,69,61,0.00,10,22
274,2013-10-12,72,61,0.00,10,24
275,2013-10-13,64,57,0.00,10,23
276,2013-10-14,64,53,0.00,10,10
277,2013-10-15,68,56,0.00,10,12
278,2013-10-16,64,57,0.00,10,10
279,2013-10-17,72,61,0.00,10,14
280,2013-10-18,68,58,0.00,10,22
281,2013-10-19,63,54,0.00,10,10
282,2013-10-20,63,51,0.00,10,21
283,2013-10-21,66,53,0.00,10,16
284,2013-10-22,66,54,0.00,10,15
285,2013-10-23,54,48,0.00,10,16
286,2013-10-25,54,42,0.00,10,20
287,2013-10-26,55,44,0.00,10,20
288,2013-10-27,58,49,0.00,10,15
289,2013-10-28,61,45,0.00,10,15
290,2013-10-29,54,44,0.00,10,12
291,2013-10-30,59,48,0.00,10,12
292,2013-10-31,65,54,0.00,10,14
293,2013-11-01,70,62,0.00,10,21
294,2013-11-02,67,56,0.00,10,15
295,2013-11-04,45,34,0.00,10,16
296,2013-11-06,59,48,0.00,10,14
297,2013-11-07,63,46,0.00,10,24
298,2013-11-08,49,41,0.00,10,22
299,2013-11-09,50,40,0.00,10,16
300,2013-11-10,60,45,0.00,10,25
301,2013-11-11,53,44,0.00,10,23
302,2013-11-12,51,33,0.00,10,22
303,2013-11-13,39,30,0.00,10,20
304,2013-11-14,52,35,0.00,10,18
305,2013-11-15,56,43,0.00,10,10
306,2013-11-16,58,47,0.00,10,14
307,2013-11-17,61,48,0.00,7,12
308,2013-11-18,65,54,0.00,10,18
309,2013-11-19,50,38,0.00,10,26
310,2013-11-20,44,32,0.00,10,15
311,2013-11-21,51,36,0.00,10,12
312,2013-11-23,54,34,0.00,10,30
313,2013-11-24,30,24,0.00,10,31
314,2013-11-25,35,24,0.00,10,18
315,2013-11-26,44,34,0.00,10,12
316,2013-11-27,59,36,0.00,10,26
317,2013-11-28,35,31,0.00,10,28
318,2013-11-29,38,32,0.00,10,17
319,2013-11-30,37,25,0.00,10,14
320,2013-12-02,45,41,0.00,10,9
321,2013-12-03,53,38,0.00,10,9
322,2013-12-04,48,40,0.00,8,9
323,2013-12-05,58,46,0.00,10,10
324,2013-12-06,55,37,0.00,10,17
325,2013-12-07,41,34,0.00,10,17
326,2013-12-08,33,28,0.00,10,15
327,2013-12-09,39,32,0.00,10,23
328,2013-12-10,38,31,0.00,10,18
329,2013-12-11,33,27,0.00,10,20
330,2013-12-12,29,23,0.00,10,21
331,2013-12-13,35,25,0.00,10,21
332,2013-12-14,36,24,0.00,10,29
333,2013-12-15,39,30,0.00,10,28
334,2013-12-16,33,26,0.00,10,22
335,2013-12-17,32,24,0.00,10,16
336,2013-12-18,37,24,0.00,10,18
337,2013-12-19,44,31,0.00,10,16
338,2013-12-20,52,39,0.00,10,13
339,2013-12-21,60,50,0.00,10,15
340,2013-12-22,69,53,0.00,10,18
341,2013-12-24,41,29,0.00,10,21
342,2013-12-25,30,20,0.00,10,22
343,2013-12-26,36,30,0.00,10,15
344,2013-12-27,40,33,0.00,10,18
345,2013-12-28,55,36,0.00,10,20
346,2013-12-29,47,39,0.00,10,21
347,2013-12-30,44,25,0.00,10,22
348,2013-12-31,32,21,0.00,10,22
349,2014-01-01,33,25,0.00,10,17
350,2014-01-04,27,10,0.00,10,10
351,2014-01-05,48,26,0.00,10,16
352,2014-01-06,52,26,0.00,10,28
353,2014-01-07,15,4,0.00,10,28
354,2014-01-08,23,9,0.00,10,16
355,2014-01-09,33,23,0.00,10,14
356,2014-01-10,34,27,0.00,10,8
357,2014-01-11,55,34,0.00,10,23
358,2014-01-12,54,40,0.00,10,23
359,2014-01-13,49,35,0.00,10,15
360,2014-01-14,49,44,0.00,10,15
361,2014-01-15,46,36,0.00,10,9
362,2014-01-16,41,36,0.00,10,14
363,2014-01-17,45,33,0.00,10,14
364,2014-01-18,38,30,0.00,10,20
365,2014-01-19,38,25,0.00,10,21
366,2014-01-20,46,34,0.00,10,23
367,2014-01-21,29,12,0.00,10,22
368,2014-01-22,18,7,0.00,10,28
369,2014-01-23,21,9,0.00,10,21
370,2014-01-24,19,11,0.00,10,20
371,2014-01-25,27,19,0.00,10,22
372,2014-01-26,31,18,0.00,10,25
373,2014-01-27,43,23,0.00,10,21
374,2014-01-28,20,13,0.00,10,20
375,2014-01-29,23,15,0.00,10,18
376,2014-01-30,29,18,0.00,10,13
377,2014-01-31,39,26,0.00,10,12
378,2014-02-01,43,33,0.00,10,12
379,2014-02-02,54,31,0.00,10,12
380,2014-02-03,41,30,0.00,10,15
381,2014-02-04,36,25,0.00,10,14
382,2014-02-05,34,28,0.00,10,21
383,2014-02-06,30,23,0.00,10,17
384,2014-02-07,33,25,0.00,10,18
385,2014-02-08,29,22,0.00,10,15
386,2014-02-09,29,21,0.00,10,14
387,2014-02-10,29,22,0.00,10,22
388,2014-02-12,23,14,0.00,10,13
389,2014-02-13,36,24,0.00,10,31
390,2014-02-14,40,30,0.00,10,31
391,2014-02-15,36,30,0.00,10,24
392,2014-02-16,29,22,0.00,10,22
393,2014-02-17,32,19,0.00,10,20
394,2014-02-18,39,25,0.00,10,25
395,2014-02-19,44,29,0.00,10,16
396,2014-02-24,43,28,0.00,10,24
397,2014-02-25,32,25,0.00,10,23
398,2014-02-27,32,17,0.00,10,32
399,2014-02-28,24,10,0.00,10,22
400,2014-03-01,37,21,0.00,10,13
401,2014-03-02,39,34,0.00,10,13
402,2014-03-03,31,19,0.00,10,18
403,2014-03-04,29,13,0.00,10,16
404,2014-03-05,36,27,0.00,10,18
405,2014-03-06,29,16,0.00,10,17
406,2014-03-07,36,26,0.00,10,18
407,2014-03-08,55,35,0.00,10,16
408,2014-03-09,43,36,0.00,10,20
409,2014-03-12,54,37,0.00,10,31
410,2014-03-13,33,19,0.00,10,32
411,2014-03-14,43,22,0.00,10,18
412,2014-03-15,58,25,0.00,10,24
413,2014-03-16,42,31,0.00,10,23
414,2014-03-17,32,24,0.00,10,17
415,2014-03-18,39,27,0.00,10,22
416,2014-03-19,46,31,0.00,10,17
417,2014-03-20,53,39,0.99,10,25
418,2014-03-21,50,39,0.00,10,23
419,2014-03-22,63,39,0.00,10,23
420,2014-03-23,43,29,0.00,10,22
421,2014-03-24,34,22,0.00,10,22
422,2014-03-25,37,26,0.00,10,18
423,2014-03-26,34,25,0.00,10,32
424,2014-03-27,41,24,0.00,10,21
425,2014-03-28,60,37,0.00,10,14
426,2014-03-30,47,39,1.97,10,25
427,2014-04-01,58,39,0.02,10,15
428,2014-04-02,53,41,0.00,10,10
429,2014-04-04,47,39,0.09,10,20
430,2014-04-05,53,39,0.17,10,29
431,2014-04-07,52,41,0.00,10,21
432,2014-04-08,64,42,0.99,10,24
433,2014-04-09,58,45,0.01,10,30
434,2014-04-10,56,43,0.00,10,24
435,2014-04-11,72,50,0.00,10,15
436,2014-04-12,69,50,0.00,10,20
437,2014-04-13,72,51,0.00,10,18
438,2014-04-14,70,55,0.00,10,24
439,2014-04-15,60,35,0.10,10,29
440,2014-04-16,47,32,0.82,10,22
441,2014-04-17,46,37,0.00,10,20
442,2014-04-18,46,35,0.00,10,13
443,2014-04-19,65,42,0.00,10,14
444,2014-04-20,55,45,0.00,10,18
445,2014-04-21,62,41,0.00,10,15
446,2014-04-22,65,50,0.00,10,16
447,2014-04-23,62,45,0.00,10,33
448,2014-04-24,60,43,0.00,10,26
449,2014-04-25,59,45,0.00,10,17
450,2014-04-26,64,45,0.70,10,16
451,2014-04-27,56,47,0.06,10,21
452,2014-04-28,63,47,0.00,10,14
453,2014-04-29,51,43,0.00,10,26
454,2014-04-30,49,42,0.55,10,21
455,2014-05-01,76,48,4.88,10,14
456,2014-05-02,67,55,0.01,10,17
457,2014-05-03,68,55,0.00,10,20
458,2014-05-04,63,55,0.03,10,24
459,2014-05-05,67,50,0.00,10,25
460,2014-05-06,66,53,0.00,10,20
461,2014-05-08,58,53,0.32,10,14
462,2014-05-09,65,53,0.09,10,13
463,2014-05-10,81,55,0.00,10,21
464,2014-05-11,80,62,0.93,10,17
465,2014-05-12,82,65,0.00,10,16
466,2014-05-13,71,53,0.00,10,18
467,2014-05-18,65,53,0.00,10,18
468,2014-05-19,69,53,0.00,10,20
469,2014-05-20,76,57,0.00,10,16
470,2014-05-21,74,64,0.00,10,14
471,2014-05-22,65,59,0.27,10,12
472,2014-05-23,67,57,0.01,10,20
473,2014-05-24,66,57,1.09,10,14
474,2014-05-25,80,56,0.02,10,13
475,2014-05-26,86,66,0.00,10,18
476,2014-05-27,86,62,0.00,10,20
477,2014-05-28,61,54,0.00,10,18
478,2014-05-29,63,51,0.00,10,16
479,2014-05-30,74,56,0.00,10,15
480,2014-05-31,68,59,0.03,10,22
481,2014-06-01,76,57,0.01,10,14
482,2014-06-02,78,61,0.00,10,16
483,2014-06-03,85,66,0.00,10,20
484,2014-06-04,79,62,0.06,10,13
485,2014-06-05,76,62,0.40,10,17
486,2014-06-06,76,61,0.30,10,16
487,2014-06-07,82,63,0.00,10,12
488,2014-06-08,84,68,0.00,10,16
489,2014-06-09,73,62,0.45,10,13
490,2014-06-10,75,63,0.79,10,12
491,2014-06-11,68,62,0.04,10,20
