,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,CALLS_PER_DAY_NYC
96,2013-04-11,59,48,0.0,10,18,3,2,False,3547.0
97,2013-04-12,47,42,0.0,10,25,4,2,False,3631.0
98,2013-04-13,56,42,0.0,10,12,5,2,False,3414.0
99,2013-04-14,55,49,0.0,10,18,6,2,False,3339.0
100,2013-04-15,56,45,0.0,10,15,0,2,False,3734.0
101,2013-04-16,60,47,0.0,10,24,1,2,False,3567.0
102,2013-04-17,68,55,0.0,10,13,2,2,False,3754.0
103,2013-04-18,61,50,0.0,10,18,3,2,False,3559.0
104,2013-04-19,70,54,0.0,10,28,4,2,False,3616.0
105,2013-04-20,64,50,0.0,10,21,5,2,False,3273.0
106,2013-04-21,52,39,0.0,10,20,6,2,False,3156.0
107,2013-04-22,55,42,0.0,10,21,0,2,False,3620.0
108,2013-04-23,52,42,0.0,10,21,1,2,False,3395.0
109,2013-04-25,67,48,0.0,10,22,3,2,False,3618.0
110,2013-04-26,65,51,0.0,10,16,4,2,False,3644.0
111,2013-04-27,67,49,0.0,10,13,5,2,False,3432.0
112,2013-04-28,67,51,0.0,10,20,6,2,False,3238.0
113,2013-04-29,59,54,0.0,10,13,0,2,False,3579.0
114,2013-04-30,65,51,0.0,10,15,1,2,False,3431.0
115,2013-05-01,66,49,0.0,10,15,2,2,False,3552.0
116,2013-05-02,67,50,0.0,10,13,3,2,False,3774.0
117,2013-05-03,63,51,0.0,10,17,4,2,False,3854.0
118,2013-05-04,66,50,0.0,10,15,5,2,False,3572.0
119,2013-05-05,60,46,0.0,10,16,6,2,False,3611.0
120,2013-05-06,67,47,0.0,10,13,0,2,False,3978.0
121,2013-05-07,71,53,0.0,10,14,1,2,False,3757.0
122,2013-05-08,65,55,0.0,10,20,2,2,False,3707.0
123,2013-05-09,68,55,0.0,10,13,3,2,False,3654.0
124,2013-05-10,80,61,0.0,10,18,4,2,False,4281.0
125,2013-05-11,68,62,0.0,10,14,5,2,False,3644.0
126,2013-05-12,69,55,0.0,10,24,6,2,False,3540.0
127,2013-05-13,56,49,0.0,10,21,0,2,False,3763.0
128,2013-05-14,62,45,0.0,10,17,1,2,False,3571.0
129,2013-05-15,69,54,0.0,10,18,2,2,False,3794.0
130,2013-05-16,78,63,0.0,10,16,3,2,False,3921.0
131,2013-05-17,73,61,0.0,10,16,4,2,False,4010.0
132,2013-05-18,65,56,0.0,10,12,5,2,False,3596.0
133,2013-05-20,78,57,0.0,10,13,0,2,False,4157.0
134,2013-05-21,85,68,0.0,10,18,1,2,False,4112.0
135,2013-05-22,78,57,0.0,10,20,2,2,False,3754.0
136,2013-05-23,79,64,0.0,10,18,3,2,False,3847.0
137,2013-05-24,67,49,0.0,10,22,4,2,False,3575.0
138,2013-05-25,55,46,0.0,10,30,5,2,False,3232.0
139,2013-05-26,66,50,0.0,10,23,6,2,False,3346.0
140,2013-05-27,76,56,0.0,10,14,0,2,True,3460.0
141,2013-05-28,71,57,0.0,10,13,1,2,False,3610.0
142,2013-05-29,81,57,0.0,10,12,2,2,False,3828.0
143,2013-05-30,93,74,0.0,10,13,3,2,False,4085.0
144,2013-05-31,92,77,0.0,10,14,4,2,False,4367.0
145,2013-06-01,89,75,0.0,10,14,5,3,False,4253.0
146,2013-06-02,87,70,0.0,10,18,6,3,False,3928.0
147,2013-06-03,77,70,0.0,10,13,0,3,False,4159.0
148,2013-06-04,75,59,0.0,10,17,1,3,False,4089.0
149,2013-06-05,72,59,0.0,10,12,2,3,False,3975.0
150,2013-06-06,71,60,0.0,10,15,3,3,False,3816.0
151,2013-06-07,65,59,0.0,10,28,4,3,False,3632.0
152,2013-06-08,77,57,0.0,10,21,5,3,False,3714.0
153,2013-06-09,81,64,0.0,10,14,6,3,False,3804.0
154,2013-06-10,68,62,0.0,10,18,0,3,False,3817.0
155,2013-06-11,81,63,0.0,10,26,1,3,False,3767.0
156,2013-06-12,76,66,0.0,10,24,2,3,False,3803.0
157,2013-06-13,71,59,0.0,10,32,3,3,False,3511.0
158,2013-06-14,73,55,0.0,10,20,4,3,False,3706.0
159,2013-06-15,81,65,0.0,10,13,5,3,False,3766.0
160,2013-06-16,82,69,0.0,10,21,6,3,False,3564.0
161,2013-06-17,86,71,0.0,10,15,0,3,False,4130.0
162,2013-06-18,80,66,0.0,10,15,1,3,False,3676.0
163,2013-06-19,76,61,0.0,10,16,2,3,False,3692.0
164,2013-06-20,79,65,0.0,10,17,3,3,False,3757.0
165,2013-06-21,81,66,0.0,10,16,4,3,False,3962.0
166,2013-06-23,87,71,0.0,10,20,6,3,False,3791.0
167,2013-06-24,94,76,0.0,10,17,0,3,False,4291.0
168,2013-06-25,93,75,0.0,10,16,1,3,False,3935.0
169,2013-06-26,88,77,0.0,10,18,2,3,False,4053.0
170,2013-06-27,82,73,0.0,10,18,3,3,False,3856.0
171,2013-06-28,87,73,0.0,10,15,4,3,False,3859.0
172,2013-06-30,85,73,0.0,10,15,6,3,False,3830.0
173,2013-07-01,78,73,0.0,10,18,0,3,False,3791.0
174,2013-07-02,83,73,0.0,10,16,1,3,False,3758.0
175,2013-07-03,84,74,0.0,10,18,2,3,False,3861.0
176,2013-07-04,91,77,0.0,10,15,3,3,True,3692.0
177,2013-07-05,92,77,0.0,10,15,4,3,False,4362.0
178,2013-07-06,95,79,0.0,10,16,5,3,False,3827.0
179,2013-07-07,96,82,0.0,10,16,6,3,False,3936.0
180,2013-07-08,90,76,0.0,10,16,0,3,False,3780.0
181,2013-07-10,91,75,0.0,10,18,2,3,False,3967.0
182,2013-07-11,84,77,0.0,10,14,3,3,False,3695.0
183,2013-07-12,77,69,0.0,10,18,4,3,False,3744.0
184,2013-07-13,76,69,0.0,10,16,5,3,False,3694.0
185,2013-07-14,93,72,0.0,10,15,6,3,False,3812.0
186,2013-07-15,94,80,0.0,10,17,0,3,False,4009.0
187,2013-07-16,93,80,0.0,10,16,1,3,False,3950.0
188,2013-07-17,95,79,0.0,10,15,2,3,False,4016.0
189,2013-07-18,99,83,0.0,10,13,3,3,False,4139.0
190,2013-07-19,99,86,0.0,10,18,4,3,False,4497.0
191,2013-07-20,94,83,0.0,10,20,5,3,False,4053.0
192,2013-07-22,81,75,0.0,10,16,0,3,False,4189.0
193,2013-07-23,89,75,0.0,10,14,1,3,False,3929.0
194,2013-07-24,82,72,0.0,10,17,2,3,False,3652.0
195,2013-07-25,69,64,0.0,10,17,3,3,False,3331.0
196,2013-07-26,82,65,0.0,10,13,4,3,False,3539.0
197,2013-07-27,83,71,0.0,10,18,5,3,False,3701.0
198,2013-07-28,81,71,0.0,10,15,6,3,False,3354.0
199,2013-07-29,87,71,0.0,10,20,0,3,False,3668.0
200,2013-07-30,81,70,0.0,10,14,1,3,False,3668.0
201,2013-07-31,82,71,0.0,10,13,2,3,False,3521.0
202,2013-08-01,78,69,0.0,10,15,3,3,False,3558.0
203,2013-08-02,85,70,0.0,10,16,4,3,False,3810.0
204,2013-08-03,80,72,0.0,10,13,5,3,False,3863.0
205,2013-08-04,80,70,0.0,10,18,6,3,False,3581.0
206,2013-08-05,78,65,0.0,10,17,0,3,False,3578.0
207,2013-08-06,81,67,0.0,10,15,1,3,False,3652.0
208,2013-08-07,80,72,0.0,10,21,2,3,False,3473.0
209,2013-08-08,81,71,0.0,10,15,3,3,False,3448.0
210,2013-08-09,88,73,0.0,10,21,4,3,False,3764.0
211,2013-08-10,84,72,0.0,10,16,5,3,False,3809.0
212,2013-08-11,81,67,0.0,10,14,6,3,False,3545.0
213,2013-08-12,81,71,0.0,10,9,0,3,False,3769.0
214,2013-08-13,78,70,0.0,10,10,1,3,False,3495.0
215,2013-08-14,74,62,0.0,10,22,2,3,False,3567.0
216,2013-08-15,77,63,0.0,10,13,3,3,False,3483.0
217,2013-08-16,78,67,0.0,10,13,4,3,False,3734.0
218,2013-08-17,81,68,0.0,10,12,5,3,False,3653.0
219,2013-08-18,75,69,0.0,10,9,6,3,False,3452.0
220,2013-08-19,80,68,0.0,10,12,0,3,False,3514.0
221,2013-08-20,88,70,0.0,10,10,1,3,False,3687.0
222,2013-08-21,89,75,0.0,10,15,2,3,False,3614.0
223,2013-08-22,79,73,0.0,10,15,3,3,False,3520.0
224,2013-08-23,81,72,0.0,10,17,4,3,False,3698.0
225,2013-08-24,78,64,0.0,10,15,5,3,False,3515.0
226,2013-08-25,83,68,0.0,10,16,6,3,False,3500.0
227,2013-08-26,84,70,0.0,10,14,0,3,False,3595.0
228,2013-08-27,85,73,0.0,10,21,1,3,False,3611.0
229,2013-08-28,82,73,0.0,10,10,2,3,False,3514.0
